# 口语词频表 v3（SUBTLEX-CH 词级 + 字幕 2-gram 组合词，词\t频次）
开枪	4365
简体	4354
会一	4350
们发	4345
会为	4342
以去	4340
醫生	4334
想找	4331
来做	4330
下吧	4328
一辈	4327
里吗	4323
嫁给	4318
声	4315
里不	4314
待会	4313
去见	4301
会帮	4301
除非	4299
集	4294
店	4293
酷	4289
只剩	4285
过得	4283
正常	4281
静点	4277
死亡	4274
终于	4273
拥有	4267
感兴	4264
得自	4250
么没	4247
么看	4245
警	4243
船	4243
付	4235
派对	4231
乐部	4226
認為	4225
不下	4224
们全	4223
甜心	4219
遍	4218
步	4208
不再	4205
要带	4205
鬼	4202
咖啡	4195
得一	4194
傻	4192
种人	4186
阻止	4179
想象	4177
冷静	4176
一整	4175
俱乐	4175
方法	4174
探员	4155
犯	4145
扔	4145
人去	4145
子不	4138
道自	4138
说要	4137
祝	4136
能力	4136
一开	4135
完美	4134
看吧	4132
样吗	4130
想办	4129
克	4128
要上	4128
口	4127
以说	4127
目标	4123
耶	4120
日	4114
子一	4112
太人	4112
头上	4108
們要	4104
有关	4102
精神	4099
另外	4098
放松	4092
丢	4088
辆车	4085
前一	4080
别想	4076
休息	4075
每天	4072
们带	4072
两年	4072
以吗	4071
要到	4071
回答	4070
经死	4069
轻人	4066
凶手	4064
要吃	4064
人啊	4064
负责	4060
命	4060
外	4058
过吗	4057
碰	4055
介意	4053
梦	4053
试试	4052
穿上	4049
然可	4046
全世	4042
那天	4033
一片	4029
能用	4029
事要	4018
感覺	4012
么地	4002
系统	3999
睡觉	3999
滚	3992
宋体	3990
谋杀	3989
礼物	3988
那种	3987
戴	3987
会对	3987
各位	3982
错误	3979
子	3972
随便	3971
不希	3969
可没	3968
三年	3967
带上	3962
们给	3956
该做	3956
头发	3955
么认	3946
藏	3933
间里	3931
一周	3928
关心	3926
底	3925
干吗	3924
兴趣	3922
情	3915
首歌	3915
报告	3912
从没	3907
替	3906
面	3906
以让	3903
经历	3901
六	3898
飞	3894
老师	3879
以置	3879
点不	3878
洛杉	3872
想着	3872
别忘	3871
死定	3871
兩個	3871
气	3864
所说	3862
们家	3861
不用	3859
小孩	3859
人类	3857
快點	3855
搞砸	3854
冲	3852
到现	3850
自由	3848
没做	3848
支持	3841
星期	3837
脚	3836
很快	3836
毁	3836
不重	3833
生气	3828
华文	3822
建议	3819
做到	3817
套	3816
长时	3815
好主	3814
哭	3813
知不	3812
以不	3808
屁股	3804
生日	3800
可思	3798
晚安	3796
否则	3796
画	3795
病	3793
外星	3792
线	3791
光	3779
安排	3776
神	3776
年轻	3776
操	3775
想告	3774
很感	3772
要保	3772
下面	3771
姑娘	3765
不錯	3765
說什	3761
能为	3760
道	3757
按	3752
钥匙	3751
法官	3749
包	3748
腿	3747
所做	3745
自	3743
听好	3737
样对	3733
里干	3733
选手	3732
再打	3730
没时	3727
信息	3725
们进	3720
盯着	3710
整	3708
投票	3701
哥哥	3700
儿来	3699
手术	3695
必要	3695
能回	3695
身边	3694
们离	3694
知	3687
说实	3679
好消	3677
拿去	3676
任何人	3672
下吗	3668
很开	3667
票	3664
人很	3664
撒谎	3663
太可	3661
記得	3658
们大	3656
武器	3654
好一	3654
们什	3649
但如	3649
痛苦	3648
搞不	3648
發現	3639
很明	3637
全部	3635
手机	3634
忘记	3632
外一	3630
用一	3628
存在	3627
快回	3627
首先	3624
傢伙	3624
不舒	3624
组	3623
照	3617
查一	3617
闭上	3617
交	3614
以及	3610
十	3610
台	3604
得多	3602
得像	3602
搬	3598
个人	3597
走出	3595
做些	3592
代表	3586
坚持	3584
直升	3582
意义	3580
楼	3580
們會	3580
正黑	3580
能来	3578
承认	3575
一回	3575
发誓	3570
理由	3570
显然	3566
局	3563
很奇	3558
想回	3557
特勒	3555
政府	3549
这次	3548
天不	3548
生意	3546
再给	3542
到最	3541
眼	3539
想问	3537
火	3536
遇到	3536
要见	3536
么啦	3534
好想	3530
喝点	3527
用不	3527
很美	3526
猫	3524
想出	3523
别管	3522
不告	3521
真可	3519
即使	3516
记住	3514
人之	3513
打死	3512
到处	3511
不做	3510
想吃	3509
么关	3507
看什	3505
们又	3501
幸运	3500
狗屎	3497
卡	3496
行不	3496
洗	3495
挺好	3495
那时	3494
干什么	3492
事儿	3489
混	3482
两次	3476
能想	3476
三天	3474
说到	3473
犯罪	3469
最後	3469
会开	3468
至不	3467
挂	3463
谁会	3461
跳舞	3459
很容	3458
们刚	3455
伙子	3455
白痴	3446
帝啊	3446
信任	3441
新闻	3441
滚出	3441
未来	3440
道歉	3439
谁说	3439
底怎	3438
该知	3437
来干	3433
可怜	3428
况下	3427
实在	3426
一口	3425
点东	3425
杉矶	3422
骗	3419
加入	3418
站起	3418
去上	3416
思议	3416
体简	3415
病人	3414
案	3412
根	3410
吓	3408
治疗	3399
原谅	3399
行为	3396
校对	3393
该说	3393
能打	3390
比较	3388
边	3385
长得	3385
双	3384
婚礼	3381
两位	3381
么久	3377
弟弟	3376
组织	3373
来好	3373
试过	3373
想想	3371
份工	3371
死吧	3371
要喝	3367
很长	3367
见面	3366
经常	3364
来接	3361
城市	3349
老板	3349
用担	3349
却不	3349
去吃	3347
合作	3344
又一	3343
来到	3341
员会	3341
一会儿	3339
友们	3339
以用	3338
里做	3337
希特	3337
会用	3335
乱	3332
论如	3332
词	3331
尔	3327
超	3327
差不多	3326
麼事	3326
一晚	3324
支	3321
们快	3321
老婆	3320
要对	3320
中心	3318
可怕	3318
認識	3318
笔	3315
满	3311
假	3310
万美	3310
们上	3308
明显	3306
研究	3305
会更	3304
会相	3303
意识	3300
附近	3300
同性恋	3298
么用	3298
過去	3293
打扰	3292
不给	3291
儿去	3290
好运	3289
么鬼	3289
不干	3288
不吃	3284
说呢	3268
线索	3267
面前	3264
消失	3263
妹妹	3262
然没	3261
走到	3260
正确	3259
人打	3259
好朋	3259
位置	3253
息一	3248
次见	3245
星人	3244
高興	3243
答应	3241
收	3237
上看	3237
砸	3232
该不	3232
以一	3230
吸血	3223
街	3219
去打	3215
些不	3213
擔心	3211
电脑	3210
去不	3206
吃点	3202
日快	3199
区	3198
到很	3198
特先	3197
以走	3195
们听	3195
要问	3194
尔德	3192
拿来	3188
些家	3188
一本	3187
撞	3186
借	3185
室里	3179
秒	3174
看电	3162
似乎	3157
放下	3156
到自	3152
器人	3152
么快	3151
力量	3150
命令	3147
该走	3147
同时	3145
一间	3144
提供	3143
威胁	3141
输	3138
过不	3138
号码	3136
日子	3136
么叫	3135
久没	3133
座	3132
尔特	3129
真想	3127
比如	3120
哪个	3120
球上	3119
剩下	3118
不走	3117
最棒	3114
严重	3110
五年	3110
些小	3109
块钱	3107
哪裡	3106
很危	3103
说好	3099
感	3098
一套	3098
会得	3097
享受	3096
來吧	3096
怎樣	3096
战争	3095
们用	3095
這裏	3094
害者	3094
恭喜	3093
杀死	3093
幹嘛	3088
其	3087
做点	3086
影响	3085
還沒	3082
笑吧	3082
喝醉	3081
利用	3078
人做	3078
恨	3077
谈过	3076
钟后	3076
一支	3074
文楷	3074
再回	3070
杀人	3063
们干	3063
脱	3062
不确	3060
陪	3059
们当	3053
以给	3053
失踪	3051
要进	3049
认真	3048
们中	3048
真相	3046
想成	3046
法律	3044
快跑	3044
会伤	3042
训练	3039
很忙	3039
们谈	3038
八蛋	3035
米	3034
值得	3033
阿	3031
算什	3031
主	3030
但现	3030
有意思	3029
一颗	3029
升机	3028
父親	3027
哪去	3026
热	3025
得上	3025
要想	3024
這一	3021
们每	3019
太大	3019
馬上	3018
使用	3017
差	3016
方面	3015
想杀	3013
望能	3008
会到	3005
银行	3003
们相	3002
对啊	2998
克先	2997
们吗	2997
条路	2995
恐怖	2994
要为	2985
尽	2981
原来	2980
华盛	2979
警官	2978
开一	2974
性感	2973
久以	2973
自杀	2969
